  TRIG, THRES, RESET,   OUT
  4.99,  4.98,  5.00,  0.00
  4.97,  4.96,  5.00,  0.00
  4.95,  4.94,  5.00,  0.00
  4.92,  4.93,  5.00,  0.00
  4.90,  4.92,  5.00,  0.00
  4.88,  4.89,  5.00,  0.00
  4.87,  4.87,  5.00,  0.00
  4.85,  4.85,  5.00,  0.00
  4.82,  4.83,  5.00,  0.00
  4.82,  4.81,  5.00,  0.00
  4.79,  4.79,  5.00,  0.00
  4.78,  4.77,  5.00,  0.00
  4.76,  4.75,  5.00,  0.00
  4.73,  4.74,  5.00,  0.00
  4.72,  4.72,  5.00,  0.00
  4.69,  4.69,  5.00,  0.00
  4.68,  4.68,  5.00,  0.00
  4.65,  4.66,  5.00,  0.00
  4.64,  4.63,  5.00,  0.00
  4.62,  4.62,  5.00,  0.00
  4.60,  4.60,  5.00,  0.00
  4.58,  4.57,  5.00,  0.00
  4.56,  4.56,  5.00,  0.00
  4.54,  4.54,  5.00,  0.00
  4.52,  4.52,  5.00,  0.00
  4.50,  4.50,  5.00,  0.00
  4.48,  4.48,  5.00,  0.00
  4.47,  4.46,  5.00,  0.00
  4.44,  4.44,  5.00,  0.00
  4.42,  4.43,  5.00,  0.00
  4.40,  4.40,  5.00,  0.00
  4.38,  4.38,  5.00,  0.00
  4.36,  4.36,  5.00,  0.00
  4.34,  4.34,  5.00,  0.00
  4.32,  4.33,  5.00,  0.00
  4.31,  4.30,  5.00,  0.00
  4.29,  4.29,  5.00,  0.00
  4.26,  4.27,  5.00,  0.00
  4.25,  4.25,  5.00,  0.00
  4.23,  4.24,  5.00,  0.00
  4.21,  4.21,  5.00,  0.00
  4.19,  4.19,  5.00,  0.00
  4.17,  4.17,  5.00,  0.00
  4.15,  4.14,  5.00,  0.00
  4.13,  4.13,  5.00,  0.00
  4.11,  4.11,  5.00,  0.00
  4.09,  4.09,  5.00,  0.00
  4.07,  4.08,  5.00,  0.00
  4.05,  4.05,  5.00,  0.00
  4.04,  4.03,  5.00,  0.00
  4.01,  4.02,  5.00,  0.00
  3.99,  4.00,  5.00,  0.00
  3.98,  3.97,  5.00,  0.00
  3.95,  3.95,  5.00,  0.00
  3.94,  3.93,  5.00,  0.00
  3.92,  3.92,  5.00,  0.00
  3.90,  3.90,  5.00,  0.00
  3.88,  3.88,  5.00,  0.00
  3.86,  3.86,  5.00,  0.00
  3.84,  3.84,  5.00,  0.00
  3.82,  3.82,  5.00,  0.00
  3.80,  3.80,  5.00,  0.00
  3.78,  3.78,  5.00,  0.00
  3.76,  3.76,  5.00,  0.00
  3.74,  3.74,  5.00,  0.00
  3.72,  3.72,  5.00,  0.00
  3.70,  3.70,  5.00,  0.00
  3.68,  3.69,  5.00,  0.00
  3.67,  3.66,  5.00,  0.00
  3.64,  3.65,  5.00,  0.00
  3.63,  3.63,  5.00,  0.00
  3.61,  3.60,  5.00,  0.00
  3.59,  3.59,  5.00,  0.00
  3.56,  3.57,  4.99,  0.00
  3.54,  3.55,  5.00,  0.00
  3.53,  3.52,  5.00,  0.00
  3.51,  3.50,  5.00,  0.00
  3.49,  3.48,  5.00,  0.00
  3.48,  3.47,  5.00,  0.00
  3.45,  3.45,  5.00,  0.00
  3.42,  3.43,  4.99,  0.00
  3.42,  3.41,  5.00,  0.00
  3.39,  3.39,  5.00,  0.00
  3.38,  3.37,  5.00,  0.00
  3.36,  3.35,  5.00,  0.00
  3.33,  3.33,  5.00,  0.00
  3.31,  3.31,  5.00,  0.00
  3.29,  3.29,  5.00,  0.00
  3.27,  3.27,  5.00,  0.00
  3.25,  3.26,  5.00,  0.00
  3.24,  3.24,  5.00,  0.00
  3.22,  3.22,  5.00,  0.00
  3.20,  3.20,  5.00,  0.00
  3.17,  3.17,  5.00,  0.00
  3.16,  3.16,  5.00,  0.00
  3.14,  3.14,  5.00,  0.00
  3.12,  3.11,  5.00,  0.00
  3.10,  3.10,  5.00,  0.00
  3.08,  3.08,  5.00,  0.00
  3.06,  3.06,  5.00,  0.00
  3.04,  3.04,  5.00,  0.00
  3.03,  3.03,  5.00,  0.00
  3.00,  3.01,  5.00,  0.00
  2.99,  2.98,  5.00,  0.00
  2.96,  2.97,  5.00,  0.00
  2.95,  2.94,  5.00,  0.00
  2.93,  2.92,  5.00,  0.00
  2.91,  2.91,  5.00,  0.00
