  TRIG, THRES, RESET,   OUT
  0.00,  4.99,  5.00,  5.00
  0.00,  4.97,  5.00,  5.00
  0.00,  4.95,  5.00,  5.00
  0.00,  4.93,  5.00,  5.00
  0.00,  4.92,  5.00,  5.00
  0.00,  4.89,  5.00,  5.00
  0.00,  4.86,  5.00,  5.00
  0.00,  4.85,  5.00,  5.00
  0.00,  4.83,  5.00,  5.00
  0.00,  4.81,  5.00,  5.00
  0.00,  4.79,  5.00,  5.00
  0.00,  4.77,  5.00,  5.00
  0.00,  4.75,  5.00,  5.00
  0.00,  4.73,  5.00,  5.00
  0.00,  4.72,  5.00,  4.99
  0.00,  4.69,  5.00,  5.00
  0.00,  4.68,  5.00,  4.99
  0.00,  4.66,  5.00,  5.00
  0.00,  4.64,  5.00,  4.99
  0.00,  4.62,  5.00,  5.00
  0.00,  4.59,  5.00,  5.00
  0.00,  4.58,  5.00,  5.00
  0.00,  4.56,  5.00,  5.00
  0.00,  4.54,  5.00,  5.00
  0.00,  4.52,  5.00,  5.00
  0.00,  4.50,  4.99,  5.00
  0.00,  4.48,  5.00,  5.00
  0.00,  4.46,  5.00,  5.00
  0.00,  4.43,  5.00,  5.00
  0.00,  4.42,  5.00,  5.00
  0.00,  4.40,  5.00,  5.00
  0.00,  4.38,  5.00,  5.00
  0.00,  4.35,  5.00,  5.00
  0.00,  4.35,  5.00,  5.00
  0.00,  4.33,  5.00,  5.00
  0.00,  4.31,  5.00,  5.00
  0.00,  4.29,  4.99,  5.00
  0.00,  4.27,  5.00,  5.00
  0.00,  4.24,  5.00,  5.00
  0.00,  4.23,  5.00,  5.00
  0.00,  4.21,  5.00,  5.00
  0.00,  4.19,  5.00,  5.00
  0.00,  4.17,  5.00,  5.00
  0.00,  4.14,  5.00,  5.00
  0.00,  4.13,  5.00,  5.00
  0.00,  4.11,  5.00,  5.00
  0.00,  4.10,  5.00,  5.00
  0.00,  4.07,  5.00,  4.99
  0.00,  4.05,  5.00,  5.00
  0.00,  4.03,  5.00,  4.99
  0.00,  4.02,  5.00,  5.00
  0.00,  4.00,  5.00,  5.00
  0.00,  3.98,  5.00,  5.00
  0.00,  3.96,  5.00,  5.00
  0.00,  3.93,  5.00,  5.00
  0.00,  3.91,  5.00,  5.00
  0.00,  3.90,  5.00,  5.00
  0.00,  3.88,  5.00,  5.00
  0.00,  3.86,  5.00,  5.00
  0.00,  3.84,  5.00,  5.00
  0.00,  3.82,  5.00,  5.00
  0.00,  3.80,  5.00,  5.00
  0.00,  3.78,  5.00,  5.00
  0.00,  3.76,  5.00,  5.00
  0.00,  3.74,  5.00,  5.00
  0.00,  3.72,  5.00,  5.00
  0.00,  3.70,  5.00,  5.00
  0.00,  3.69,  5.00,  5.00
  0.00,  3.66,  5.00,  5.00
  0.00,  3.65,  5.00,  5.00
  0.00,  3.63,  5.00,  5.00
  0.00,  3.61,  5.00,  5.00
  0.00,  3.59,  5.00,  5.00
  0.00,  3.57,  5.00,  5.00
  0.00,  3.55,  5.00,  5.00
  0.00,  3.53,  5.00,  5.00
  0.00,  3.50,  5.00,  5.00
  0.00,  3.49,  5.00,  5.00
  0.00,  3.47,  5.00,  5.00
  0.00,  3.45,  5.00,  5.00
  0.00,  3.43,  5.00,  5.00
  0.00,  3.41,  5.00,  5.00
  0.00,  3.39,  5.00,  5.00
  0.00,  3.37,  5.00,  5.00
  0.00,  3.35,  5.00,  5.00
  0.00,  3.33,  5.00,  5.00
  0.00,  3.32,  5.00,  5.00
  0.00,  3.30,  5.00,  5.00
  0.00,  3.27,  5.00,  5.00
  0.00,  3.26,  5.00,  5.00
  0.00,  3.23,  5.00,  5.00
  0.00,  3.22,  5.00,  5.00
  0.00,  3.20,  5.00,  5.00
  0.00,  3.18,  5.00,  5.00
  0.00,  3.16,  5.00,  5.00
  0.00,  3.14,  5.00,  5.00
  0.00,  3.12,  5.00,  5.00
  0.00,  3.10,  5.00,  5.00
  0.00,  3.08,  5.00,  5.00
  0.00,  3.06,  5.00,  5.00
  0.00,  3.04,  5.00,  5.00
  0.00,  3.03,  5.00,  5.00
  0.00,  3.01,  5.00,  5.00
  0.00,  2.99,  5.00,  5.00
  0.00,  2.97,  5.00,  5.00
  0.00,  2.94,  5.00,  5.00
  0.00,  2.93,  5.00,  5.00
  0.00,  2.91,  5.00,  5.00
  0.00,  2.89,  5.00,  5.00
  0.00,  2.87,  5.00,  5.00
  0.00,  2.85,  5.00,  5.00
  0.00,  2.83,  5.00,  5.00
  0.00,  2.81,  5.00,  5.00
  0.00,  2.79,  5.00,  5.00
  0.00,  2.77,  5.00,  5.00
  0.00,  2.75,  5.00,  5.00
  0.00,  2.73,  5.00,  5.00
