  TRIG, THRES, RESET,   OUT
  3.12,  0.01,  3.12,  5.00
  3.14,  0.01,  3.14,  4.99
  3.16,  0.01,  3.16,  5.00
  3.18,  0.01,  3.18,  4.99
  3.20,  0.01,  3.20,  5.00
  3.22,  0.01,  3.22,  4.99
  3.24,  0.01,  3.25,  5.00
  3.26,  0.01,  3.25,  5.00
  3.27,  0.01,  3.27,  4.99
  3.29,  0.01,  3.30,  5.00
  3.31,  0.01,  3.32,  4.99
  3.33,  0.01,  3.33,  4.99
  3.35,  0.01,  3.35,  4.99
  3.36,  0.01,  3.37,  5.00
  3.39,  0.01,  3.39,  4.99
  3.41,  0.01,  3.41,  5.00
  3.43,  0.01,  3.43,  5.00
  3.45,  0.01,  3.45,  5.00
  3.47,  0.01,  3.47,  5.00
  3.49,  0.01,  3.49,  5.00
  3.50,  0.01,  3.50,  5.00
  3.52,  0.01,  3.52,  5.00
  3.54,  0.01,  3.54,  5.00
  3.57,  0.01,  3.56,  4.99
  3.59,  0.01,  3.58,  4.99
  3.60,  0.01,  3.61,  5.00
  3.62,  0.01,  3.61,  4.99
  3.64,  0.01,  3.65,  5.00
  3.67,  0.01,  3.67,  5.00
  3.68,  0.01,  3.68,  4.99
  3.70,  0.01,  3.70,  5.00
  3.72,  0.01,  3.72,  5.00
  3.74,  0.01,  3.74,  5.00
  3.75,  0.01,  3.76,  5.00
  3.78,  0.01,  3.78,  4.99
  3.80,  0.01,  3.80,  4.99
  3.82,  0.01,  3.82,  5.00
  3.84,  0.01,  3.83,  4.99
  3.86,  0.01,  3.86,  5.00
  3.88,  0.01,  3.87,  5.00
  3.90,  0.01,  3.90,  5.00
  3.91,  0.01,  3.91,  5.00
  3.93,  0.01,  3.93,  4.99
  3.95,  0.01,  3.95,  5.00
  3.97,  0.01,  3.97,  5.00
  3.99,  0.01,  3.99,  5.00
  4.01,  0.01,  4.00,  5.00
  4.03,  0.01,  4.03,  5.00
  4.05,  0.01,  4.04,  5.00
  4.07,  0.01,  4.06,  5.00
  4.09,  0.01,  4.09,  5.00
  4.11,  0.01,  4.11,  5.00
  4.13,  0.01,  4.13,  5.00
  4.15,  0.01,  4.14,  5.00
  4.16,  0.01,  4.17,  5.00
  4.17,  0.01,  4.18,  4.99
  4.20,  0.01,  4.20,  5.00
  4.23,  0.01,  4.22,  5.00
  4.24,  0.01,  4.24,  4.99
  4.26,  0.01,  4.26,  5.00
  4.28,  0.01,  4.28,  5.00
  4.30,  0.01,  4.30,  5.00
  4.32,  0.01,  4.32,  5.00
  4.34,  0.01,  4.35,  4.99
  4.35,  0.01,  4.35,  5.00
  4.38,  0.01,  4.38,  5.00
  4.39,  0.01,  4.39,  4.98
  4.42,  0.01,  4.41,  4.99
  4.44,  0.01,  4.44,  5.00
  4.46,  0.01,  4.45,  5.00
  4.48,  0.01,  4.48,  4.99
  4.50,  0.01,  4.50,  5.00
  4.52,  0.01,  4.51,  4.99
  4.54,  0.01,  4.53,  4.99
  4.55,  0.01,  4.55,  5.00
  4.57,  0.01,  4.57,  5.00
  4.59,  0.01,  4.59,  4.99
  4.61,  0.01,  4.60,  5.00
  4.63,  0.01,  4.63,  5.00
  4.65,  0.01,  4.65,  4.99
  4.67,  0.01,  4.67,  4.99
  4.69,  0.01,  4.69,  5.00
  4.71,  0.01,  4.71,  5.00
  4.72,  0.01,  4.72,  5.00
  4.75,  0.01,  4.74,  4.99
  4.77,  0.01,  4.77,  5.00
  4.79,  0.01,  4.78,  4.99
  4.79,  0.01,  4.80,  4.99
  4.83,  0.01,  4.82,  5.00
  4.84,  0.01,  4.84,  4.99
  4.85,  0.01,  4.86,  4.99
  4.89,  0.01,  4.88,  5.00
  4.91,  0.01,  4.90,  5.00
  4.93,  0.01,  4.92,  4.99
  4.95,  0.01,  4.93,  4.99
  4.96,  0.01,  4.96,  4.99
  5.00,  0.04,  0.04,  5.00
  4.99,  0.06,  0.06,  4.99
  5.00,  0.08,  0.08,  4.99
  5.00,  0.10,  0.10,  5.00
  5.00,  0.12,  0.12,  5.00
  5.00,  0.14,  0.14,  5.00
  5.00,  0.16,  0.16,  5.00
  5.00,  0.18,  0.18,  5.00
  4.99,  0.20,  0.20,  5.00
  5.00,  0.22,  0.22,  5.00
  4.99,  0.23,  0.23,  5.00
  5.00,  0.25,  0.25,  4.99
  5.00,  0.27,  0.27,  5.00
  5.00,  0.29,  0.29,  5.00
  5.00,  0.31,  0.31,  4.99
  5.00,  0.33,  0.33,  5.00
  4.99,  0.35,  0.35,  5.00
  5.00,  0.37,  0.37,  5.00
  5.00,  0.39,  0.39,  4.99
  5.00,  0.41,  0.41,  5.00
  4.99,  0.43,  0.43,  5.00
  5.00,  0.44,  0.45,  5.00
  4.99,  0.47,  0.47,  5.00
  5.00,  0.49,  0.49,  5.00
  5.00,  0.51,  0.51,  5.00
  5.00,  0.53,  0.53,  5.00
  5.00,  0.55,  0.55,  5.00
  4.99,  0.56,  0.57,  5.00
  5.00,  0.58,  0.58,  4.99
  5.00,  0.60,  0.61,  5.00
  5.00,  0.62,  0.62,  5.00
  5.00,  0.65,  0.64,  5.00
  5.00,  0.66,  0.66,  5.00
  5.00,  0.68,  0.68,  5.00
  4.99,  0.70,  0.70,  5.00
  5.00,  0.72,  0.72,  5.00
  5.00,  0.74,  0.74,  5.00
  5.00,  0.76,  0.76,  5.00
  5.00,  0.78,  0.78,  5.00
  5.00,  0.80,  0.80,  5.00
  5.00,  0.82,  0.82,  5.00
  5.00,  0.84,  0.84,  5.00
  5.00,  0.86,  0.86,  5.00
  5.00,  0.87,  0.87,  4.99
  5.00,  0.89,  0.89,  4.99
  5.00,  0.91,  0.91,  5.00
  5.00,  0.93,  0.93,  5.00
  5.00,  0.95,  0.95,  5.00
  5.00,  0.97,  0.97,  4.99
  5.00,  0.99,  0.99,  5.00
  5.00,  1.01,  1.01,  5.00
  5.00,  1.03,  1.03,  5.00
  5.00,  1.05,  1.05,  5.00
  5.00,  1.07,  1.07,  4.99
  5.00,  1.09,  1.09,  5.00
  5.00,  1.11,  1.10,  5.00
  5.00,  1.12,  1.13,  4.99
  5.00,  1.14,  1.14,  5.00
  4.98,  1.16,  1.16,  5.00
  5.00,  1.18,  1.18,  5.00
  5.00,  1.20,  1.20,  5.00
  5.00,  1.22,  1.22,  4.99
  5.00,  1.24,  1.24,  5.00
  5.00,  1.26,  1.26,  5.00
  5.00,  1.28,  1.28,  5.00
  4.99,  1.30,  1.30,  5.00
  5.00,  1.32,  1.32,  5.00
  4.99,  1.34,  1.34,  5.00
  5.00,  1.36,  1.36,  5.00
  5.00,  1.38,  1.38,  5.00
  5.00,  1.40,  1.39,  5.00
  4.99,  1.42,  1.42,  5.00
  5.00,  1.43,  1.44,  5.00
  5.00,  1.45,  1.46,  5.00
  4.99,  1.48,  1.48,  5.00
  4.99,  1.49,  1.49,  4.99
  5.00,  1.52,  1.51,  5.00
  5.00,  1.53,  1.53,  5.00
  5.00,  1.55,  1.55,  5.00
  4.99,  1.57,  1.57,  5.00
  4.99,  1.59,  1.59,  4.99
  5.00,  1.61,  1.61,  4.99
  5.00,  1.62,  1.63,  5.00
  5.00,  1.65,  1.65,  5.00
  5.00,  1.67,  1.67,  4.99
  5.00,  1.69,  1.68,  5.00
  5.00,  1.71,  1.70,  5.00
  5.00,  1.73,  1.73,  4.99
  5.00,  1.74,  1.74,  5.00
  5.00,  1.76,  1.76,  5.00
  5.00,  1.78,  1.78,  5.00
  5.00,  1.80,  1.80,  4.99
  5.00,  1.83,  1.82,  5.00
  5.00,  1.84,  1.84,  5.00
  5.00,  1.86,  1.86,  5.00
  5.00,  1.88,  1.88,  5.00
  5.00,  1.90,  1.90,  5.00
  4.99,  1.92,  1.92,  5.00
  5.00,  1.94,  1.94,  5.00
  4.99,  1.96,  1.96,  4.99
  5.00,  1.97,  1.97,  4.99
  4.99,  1.99,  1.99,  5.00
  5.00,  2.02,  2.01,  5.00
  5.00,  2.03,  2.04,  5.00
  5.00,  2.05,  2.05,  5.00
  5.00,  2.07,  2.08,  5.00
  5.00,  2.09,  2.09,  5.00
  5.00,  2.11,  2.11,  5.00
  4.99,  2.13,  2.13,  5.00
  4.99,  2.16,  2.16,  4.99
  5.00,  2.17,  2.17,  5.00
  5.00,  2.19,  2.19,  5.00
  4.99,  2.21,  2.21,  5.00
  5.00,  2.23,  2.23,  5.00
  5.00,  2.25,  2.25,  5.00
  5.00,  2.27,  2.27,  4.99
  5.00,  2.29,  2.28,  5.00
  5.00,  2.31,  2.31,  4.99
  5.00,  2.33,  2.32,  5.00
  5.00,  2.34,  2.35,  5.00
  5.00,  2.37,  2.36,  5.00
  5.00,  2.39,  2.39,  5.00
  5.00,  2.40,  2.40,  5.00
  5.00,  2.42,  2.42,  5.00
  5.00,  2.44,  2.44,  5.00
  5.00,  2.46,  2.46,  5.00
  5.00,  2.48,  2.48,  5.00
  4.99,  2.50,  2.50,  5.00
  4.99,  2.52,  2.52,  5.00
  5.00,  2.54,  2.54,  5.00
  5.00,  2.56,  2.56,  5.00
  5.00,  2.58,  2.58,  5.00
  4.99,  2.60,  2.60,  5.00
  5.00,  2.62,  2.61,  5.00
  5.00,  2.64,  2.63,  5.00
  4.99,  2.65,  2.65,  5.00
  5.00,  2.67,  2.67,  4.99
  5.00,  2.69,  2.69,  5.00
  4.99,  2.71,  2.71,  4.99
  4.99,  2.74,  2.73,  5.00
  5.00,  2.75,  2.76,  4.99
  4.99,  2.77,  2.77,  5.00
  5.00,  2.80,  2.80,  5.00
  5.00,  2.81,  2.81,  4.99
  5.00,  2.83,  2.83,  4.99
  5.00,  2.85,  2.84,  5.00
  5.00,  2.86,  2.87,  4.99
  5.00,  2.89,  2.89,  5.00
  5.00,  2.91,  2.91,  5.00
  5.00,  2.92,  2.92,  5.00
  5.00,  2.95,  2.94,  5.00
  5.00,  2.97,  2.96,  5.00
  5.00,  2.98,  2.99,  5.00
  5.00,  3.01,  3.01,  5.00
  5.00,  3.02,  3.02,  5.00
  5.00,  3.04,  3.04,  5.00
  5.00,  3.06,  3.06,  5.00
  5.00,  3.09,  3.08,  4.99
  5.00,  3.10,  3.10,  5.00
  5.00,  3.13,  3.12,  4.99
  5.00,  3.14,  3.14,  5.00
  4.99,  3.16,  3.16,  5.00
  5.00,  3.18,  3.18,  5.00
  5.00,  3.20,  3.20,  5.00
  5.00,  3.22,  3.22,  5.00
  5.00,  3.24,  3.24,  5.00
  4.99,  3.26,  3.26,  5.00
  4.99,  3.27,  3.27,  5.00
  5.00,  3.29,  3.29,  5.00
  4.99,  3.31,  3.32,  4.99
  4.99,  3.33,  3.33,  5.00
  5.00,  3.35,  3.35,  0.00
  5.00,  3.37,  3.38,  0.00
  5.00,  3.39,  3.39,  0.00
  5.00,  3.41,  3.41,  0.00
  5.00,  3.43,  3.43,  0.00
  5.00,  3.45,  3.46,  0.00
  5.00,  3.47,  3.47,  0.00
  5.00,  3.48,  3.48,  0.00
  5.00,  3.50,  3.50,  0.00
  4.99,  3.52,  3.52,  0.00
  5.00,  3.55,  3.55,  0.00
  5.00,  3.57,  3.57,  0.00
  5.00,  3.58,  3.59,  0.00
  5.00,  3.61,  3.61,  0.00
  5.00,  3.63,  3.63,  0.00
  5.00,  3.65,  3.65,  0.00
  5.00,  3.67,  3.66,  0.00
  4.99,  3.68,  3.68,  0.00
  4.99,  3.70,  3.70,  0.00
  5.00,  3.72,  3.72,  0.00
  5.00,  3.74,  3.74,  0.00
  5.00,  3.75,  3.76,  0.00
  5.00,  3.78,  3.78,  0.00
  4.99,  3.80,  3.80,  0.00
  4.99,  3.82,  3.82,  0.00
  4.99,  3.84,  3.84,  0.00
  5.00,  3.86,  3.87,  0.00
  4.99,  3.88,  3.87,  0.00
  5.00,  3.90,  3.90,  0.00
  5.00,  3.92,  3.91,  0.00
  5.00,  3.93,  3.94,  0.00
  5.00,  3.96,  3.96,  0.00
  5.00,  3.98,  3.97,  0.00
  5.00,  3.99,  4.00,  0.00
  5.00,  4.01,  4.01,  0.00
  5.00,  4.04,  4.03,  0.00
  5.00,  4.05,  4.06,  0.00
  5.00,  4.07,  4.07,  0.00
  5.00,  4.10,  4.09,  0.00
  5.00,  4.11,  4.11,  0.00
  5.00,  4.13,  4.13,  0.00
  5.00,  4.15,  4.15,  0.00
  5.00,  4.17,  4.17,  0.00
  5.00,  4.19,  4.18,  0.00
  4.98,  4.20,  4.21,  0.00
  4.99,  4.23,  4.23,  0.00
  4.99,  4.24,  4.25,  0.00
  4.99,  4.27,  4.27,  0.00
  4.99,  4.29,  4.28,  0.00
  5.00,  4.31,  4.30,  0.00
  5.00,  4.33,  4.33,  0.00
  4.99,  4.34,  4.34,  0.00
  5.00,  4.36,  4.36,  0.00
  4.99,  4.38,  4.37,  0.00
  5.00,  4.40,  4.40,  0.00
  5.00,  4.42,  4.42,  0.00
  4.99,  4.44,  4.44,  0.00
  5.00,  4.46,  4.44,  0.00
  5.00,  4.48,  4.48,  0.00
  5.00,  4.49,  4.49,  0.00
  5.00,  4.52,  4.52,  0.00
  5.00,  4.53,  4.54,  0.00
  5.00,  4.56,  4.56,  0.00
  5.00,  4.58,  4.57,  0.00
  5.00,  4.59,  4.59,  0.00
  4.99,  4.61,  4.61,  0.00
  5.00,  4.63,  4.63,  0.00
  5.00,  4.66,  4.65,  0.00
  5.00,  4.68,  4.68,  0.00
  4.99,  4.69,  4.69,  0.00
  5.00,  4.72,  4.71,  0.00
  5.00,  4.73,  4.73,  0.00
  5.00,  4.76,  4.76,  0.00
  5.00,  4.77,  4.77,  0.00
  5.00,  4.79,  4.79,  0.00
  5.00,  4.81,  4.81,  0.00
  5.00,  4.83,  4.83,  0.00
  5.00,  4.84,  4.86,  0.00
  5.00,  4.87,  4.86,  0.00
  5.00,  4.88,  4.89,  0.00
  5.00,  4.91,  4.91,  0.00
  5.00,  4.93,  4.92,  0.00
  5.00,  4.95,  4.95,  0.00
  5.00,  4.97,  4.97,  0.00
  4.98,  5.00,  4.97,  0.01
  4.96,  4.99,  4.96,  0.01
  4.94,  4.98,  4.94,  0.01
  4.92,  4.99,  4.91,  0.01
  4.90,  4.99,  4.91,  0.01
  4.88,  5.00,  4.88,  0.01
  4.86,  4.99,  4.85,  0.01
  4.84,  4.99,  4.84,  0.01
  4.82,  4.99,  4.82,  0.01
  4.81,  5.00,  4.80,  0.01
  4.78,  5.00,  4.78,  0.01
  4.76,  4.99,  4.76,  0.01
  4.74,  4.99,  4.74,  0.01
  4.72,  4.99,  4.72,  0.01
  4.71,  4.99,  4.70,  0.01
  4.69,  5.00,  4.69,  0.01
  4.67,  4.99,  4.67,  0.01
  4.65,  4.99,  4.64,  0.01
  4.63,  5.00,  4.62,  0.01
  4.61,  4.99,  4.61,  0.01
  4.59,  4.99,  4.59,  0.01
  4.58,  4.99,  4.57,  0.01
  4.55,  4.99,  4.56,  0.01
  4.54,  4.99,  4.53,  0.01
  4.52,  4.99,  4.51,  0.01
  4.49,  4.99,  4.50,  0.01
  4.48,  5.00,  4.47,  0.01
  4.45,  4.99,  4.45,  0.01
  4.43,  5.00,  4.44,  0.01
  4.41,  4.99,  4.41,  0.01
  4.39,  4.99,  4.39,  0.01
