  TRIG, THRES, RESET,   OUT
  5.00,  4.99,  5.00,  0.00
  5.00,  4.97,  5.00,  0.00
  5.00,  4.94,  5.00,  0.00
  5.00,  4.93,  5.00,  0.00
  5.00,  4.92,  5.00,  0.00
  5.00,  4.89,  5.00,  0.00
  5.00,  4.87,  5.00,  0.00
  5.00,  4.85,  5.00,  0.00
  5.00,  4.83,  5.00,  0.00
  5.00,  4.81,  5.00,  0.00
  5.00,  4.78,  5.00,  0.00
  5.00,  4.77,  5.00,  0.00
  5.00,  4.76,  5.00,  0.00
  5.00,  4.73,  5.00,  0.00
  5.00,  4.72,  5.00,  0.00
  5.00,  4.69,  5.00,  0.00
  5.00,  4.68,  5.00,  0.00
  5.00,  4.65,  5.00,  0.00
  5.00,  4.63,  5.00,  0.00
  5.00,  4.61,  5.00,  0.00
  5.00,  4.59,  5.00,  0.00
  5.00,  4.58,  5.00,  0.00
  5.00,  4.56,  5.00,  0.00
  5.00,  4.55,  5.00,  0.00
  5.00,  4.51,  5.00,  0.00
  5.00,  4.49,  5.00,  0.00
  5.00,  4.48,  5.00,  0.00
  5.00,  4.46,  5.00,  0.00
  5.00,  4.45,  5.00,  0.00
  5.00,  4.43,  5.00,  0.00
  5.00,  4.41,  5.00,  0.00
  5.00,  4.38,  5.00,  0.00
  5.00,  4.36,  5.00,  0.00
  5.00,  4.34,  5.00,  0.00
  5.00,  4.33,  5.00,  0.00
  5.00,  4.31,  5.00,  0.00
  5.00,  4.29,  5.00,  0.00
  5.00,  4.27,  5.00,  0.00
  5.00,  4.26,  5.00,  0.00
  5.00,  4.23,  5.00,  0.00
  5.00,  4.21,  5.00,  0.00
  5.00,  4.18,  5.00,  0.00
  5.00,  4.17,  5.00,  0.00
  5.00,  4.15,  5.00,  0.00
  5.00,  4.13,  5.00,  0.00
  5.00,  4.11,  5.00,  0.00
  5.00,  4.10,  5.00,  0.00
  5.00,  4.07,  5.00,  0.00
  5.00,  4.04,  5.00,  0.00
  5.00,  4.03,  5.00,  0.00
  5.00,  4.00,  5.00,  0.00
  5.00,  3.99,  5.00,  0.00
  5.00,  3.98,  5.00,  0.00
  5.00,  3.95,  5.00,  0.00
  5.00,  3.93,  5.00,  0.00
  5.00,  3.91,  5.00,  0.00
  5.00,  3.90,  5.00,  0.00
  5.00,  3.88,  5.00,  0.00
  5.00,  3.86,  5.00,  0.00
  5.00,  3.84,  5.00,  0.00
  5.00,  3.82,  5.00,  0.00
  5.00,  3.80,  5.00,  0.00
  5.00,  3.77,  5.00,  0.00
  5.00,  3.75,  5.00,  0.00
  5.00,  3.73,  5.00,  0.00
  5.00,  3.73,  5.00,  0.00
  5.00,  3.70,  5.00,  0.00
  5.00,  3.69,  5.00,  0.00
  5.00,  3.67,  5.00,  0.00
  5.00,  3.65,  5.00,  0.00
  5.00,  3.63,  5.00,  0.00
  5.00,  3.60,  5.00,  0.00
  4.99,  3.59,  5.00,  0.00
  5.00,  3.57,  5.00,  0.00
  5.00,  3.55,  5.00,  0.00
  5.00,  3.53,  5.00,  0.00
  5.00,  3.51,  5.00,  0.00
  5.00,  3.48,  5.00,  0.00
  5.00,  3.47,  5.00,  0.00
  5.00,  3.45,  5.00,  0.00
  5.00,  3.43,  5.00,  0.00
  5.00,  3.42,  5.00,  0.00
  4.99,  3.39,  5.00,  0.00
  4.99,  3.37,  5.00,  0.00
  5.00,  3.36,  5.00,  0.00
  5.00,  3.33,  5.00,  0.00
  5.00,  3.31,  5.00,  0.00
  5.00,  3.30,  5.00,  0.00
  5.00,  3.28,  5.00,  0.00
  5.00,  3.26,  5.00,  0.00
  5.00,  3.23,  5.00,  0.00
  5.00,  3.22,  5.00,  0.00
  5.00,  3.20,  5.00,  0.00
  5.00,  3.18,  5.00,  0.00
  5.00,  3.15,  5.00,  0.00
  5.00,  3.14,  5.00,  0.00
  5.00,  3.12,  5.00,  0.00
  5.00,  3.10,  5.00,  0.00
  5.00,  3.08,  5.00,  0.00
  5.00,  3.06,  5.00,  0.00
  5.00,  3.04,  5.00,  0.00
  5.00,  3.03,  5.00,  0.00
  5.00,  3.01,  5.00,  0.00
  5.00,  2.99,  5.00,  0.00
  5.00,  2.97,  5.00,  0.00
  5.00,  2.95,  5.00,  0.00
  5.00,  2.92,  5.00,  0.00
  5.00,  2.90,  4.99,  0.00
  5.00,  2.89,  5.00,  0.00
  5.00,  2.86,  5.00,  0.00
  5.00,  2.85,  5.00,  0.00
  5.00,  2.83,  5.00,  0.00
  5.00,  2.82,  5.00,  0.00
  5.00,  2.79,  5.00,  0.00
  5.00,  2.77,  5.00,  0.00
  5.00,  2.76,  5.00,  0.00
  5.00,  2.73,  5.00,  0.00
  5.00,  2.71,  5.00,  0.00
  4.99,  2.69,  5.00,  0.00
  5.00,  2.67,  5.00,  0.00
  5.00,  2.65,  5.00,  0.00
  5.00,  2.63,  5.00,  0.00
  5.00,  2.61,  5.00,  0.00
  5.00,  2.60,  5.00,  0.00
  5.00,  2.58,  5.00,  0.00
  5.00,  2.56,  5.00,  0.00
  5.00,  2.53,  5.00,  0.00
  5.00,  2.52,  5.00,  0.00
  5.00,  2.50,  5.00,  0.00
  5.00,  2.48,  5.00,  0.00
  5.00,  2.46,  5.00,  0.00
  5.00,  2.44,  5.00,  0.00
  5.00,  2.42,  5.00,  0.00
  5.00,  2.40,  5.00,  0.00
  5.00,  2.38,  5.00,  0.00
  5.00,  2.37,  5.00,  0.00
  5.00,  2.35,  5.00,  0.00
  5.00,  2.32,  5.00,  0.00
  5.00,  2.31,  5.00,  0.00
  5.00,  2.29,  4.99,  0.00
  5.00,  2.27,  5.00,  0.00
  5.00,  2.24,  5.00,  0.00
  5.00,  2.23,  5.00,  0.00
  5.00,  2.20,  5.00,  0.00
  5.00,  2.19,  5.00,  0.00
  5.00,  2.17,  5.00,  0.00
  5.00,  2.14,  5.00,  0.00
  5.00,  2.13,  5.00,  0.00
  5.00,  2.11,  5.00,  0.00
  5.00,  2.09,  5.00,  0.00
  5.00,  2.07,  5.00,  0.00
  5.00,  2.05,  5.00,  0.00
  5.00,  2.03,  4.99,  0.00
  5.00,  2.01,  5.00,  0.00
  5.00,  1.99,  5.00,  0.00
  5.00,  1.97,  5.00,  0.00
  5.00,  1.96,  5.00,  0.00
  5.00,  1.94,  5.00,  0.00
  5.00,  1.91,  5.00,  0.00
  5.00,  1.90,  5.00,  0.00
  5.00,  1.88,  5.00,  0.00
  5.00,  1.86,  5.00,  0.00
  5.00,  1.84,  5.00,  0.00
  5.00,  1.82,  5.00,  0.00
  5.00,  1.80,  5.00,  0.00
  5.00,  1.78,  5.00,  0.00
  5.00,  1.76,  5.00,  0.00
  5.00,  1.74,  5.00,  0.00
  4.99,  1.72,  5.00,  0.00
  5.00,  1.70,  5.00,  0.00
  5.00,  1.68,  5.00,  0.00
  5.00,  1.67,  5.00,  0.00
  5.00,  1.64,  5.00,  0.00
  5.00,  1.62,  4.99,  0.00
  5.00,  1.61,  5.00,  0.00
  5.00,  1.58,  5.00,  0.00
  5.00,  1.56,  5.00,  0.00
  5.00,  1.55,  5.00,  0.00
  5.00,  1.53,  5.00,  0.00
  5.00,  1.51,  4.99,  0.00
  5.00,  1.49,  5.00,  0.00
  5.00,  1.47,  5.00,  0.00
  5.00,  1.45,  5.00,  0.00
  5.00,  1.43,  5.00,  0.00
  5.00,  1.41,  5.00,  0.00
  5.00,  1.39,  5.00,  0.00
  5.00,  1.37,  5.00,  0.00
  5.00,  1.35,  5.00,  0.00
  5.00,  1.33,  4.99,  0.00
